Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Clínica Veterinária Rio Grande;Rua Valdir Gil da Silva, 36, Rio Grande da Serra;4.6;89;ChIJabqyk9kSzpQRW18v7b8DKcE;veterinary_care;-23.7427787;-46.3968458
Casarão Vet à Domicílio;Estrada Guilherme Pinto Monteiro, 8 - Vila Rio Grande, Rio Grande da Serra;4;1;ChIJHaiKj6oTzpQRaxb1NaLWBk8;veterinary_care;-23.7424997;-46.3910961
Pet Pink;Rua Ribeirão Píres, 362 - Vila Conde Siciliano, Rio Grande da Serra;5;1;ChIJHe2njVITzpQR8Z6pYg8xE7I;pet_store;-23.7438794;-46.3811245
Vila Pet Estética Animal;Rua das Margaridas, 88 - Recanto das Flores, Rio Grande da Serra;4.8;38;ChIJWcKX4L8TzpQRsPueoDKXyFY;pet_store;-23.7432771;-46.3795013
Amor de Pet;Estrada Fazenda São Joaquim - Recanto das Flores, Rio Grande da Serra;5;2;ChIJGR36sEATzpQRnjtrDvMUIHA;pet_store;-23.7438283;-46.3755779
CASA DE RAÇÕES Recanto Animal;Rua das Margaridas, 1308 - Centro, Rio Grande da Serra;5;1;ChIJWaZriL4SzpQR1wvYt63sN7A;pet_store;-23.74168;-46.377529
Pet Shop ABC - Banho e Tosa, Rações e Acessórios;Rua Cândido José Casa, 358 - Dos Casa, São Bernardo do Campo;4.6;66;ChIJr2n0MUJBzpQRsd9GFJyxUsg;pet_store;-23.7321237;-46.57621169999999
DOGGO PET SHOP;Rua Wadia Jafete Assad, 232 - Assunção, São Bernardo do Campo;4.6;165;ChIJ3cxxxGhBzpQR90e0UMqZTrk;pet_store;-23.7273604;-46.5702942
Cantinho Animal;Rua Gabriel de Souza, 34 - Bairro dos Casa, São Bernardo do Campo;4.5;267;ChIJHZ1U3XFBzpQR21L70QpzYYY;pet_store;-23.727206;-46.5639025
Aquarium Life;Rua das Orquideas, 504 - Vila Marchi, São Bernardo do Campo;4.9;196;ChIJi3TrVXdBzpQR5Di90RuxR4w;pet_store;-23.7221603;-46.55939559999999
Pet Shop Bicho do Mato;Rua Walter Carlos Zanini, 65 - Assunção, São Bernardo do Campo;4.6;493;ChIJIZKdJHtBzpQRUjlA-xzh5fI;veterinary_care;-23.7207284;-46.56347299999999
Modas pet shelby;Rua Natalino Fabrini, 224 - Bairro dos Casa, São Bernardo do Campo;5;3;ChIJZZmArzxBzpQRLIqCXRegdqk;pet_store;-23.7306537;-46.5720378
ESPACIAL AGRO PET;Avenida Capitão Casa, 1399 - Bairro dos Casa, São Bernardo do Campo;4.8;189;ChIJy78sem5BzpQReCqBaSd0N7Q;veterinary_care;-23.729331;-46.566441
